"floor_size","bed_room_count","built_year","sold_date","sold_price","room_count","garage_size","parking_lot"
2068,3,2003,"Aug2015",195500,6,768,3
3372,3,1999,"Dec2015",385000,6,480,2
3130,3,1999,"Jan2017",188000,7,400,2
3991,3,1999,"Nov2014",375000,8,400,2
1450,2,1999,"Jan2015",136000,7,200,1
3805,5,1999,"Oct2014",475000,9,400,2
1614,3,1999,"Mar2017",150000,6,400,2
1752,4,1991,"Jul2015",168500,6,400,2
2391,4,1991,"Jun2017",325000,13,400,2
3396,4,1993,"Jun2015",319000,8,724,3
2799,5,2001,"Nov2015",315000,7,400,2
3352,4,1990,"Jul2017",439000,9,992,3
1800,3,2002,"Dec2014",155000,7,936,4
2905,4,1991,"Jun2015",223500,10,440,2
2476,4,2006,"Dec2014",233000,9,440,2
2596,4,2006,"Jul2015",233000,7,440,2
1690,5,1991,"Jan2017",215000,7,640,2
1569,2,2002,"May2017",149000,5,200,1
2760,4,1999,"Jun2016",200000,8,400,2
1506,4,2008,"Jun2015",129000,7,440,2
3032,4,1992,"Feb2015",525000,8,576,3
2420,3,1994,"Jun2016",205000,11,400,2
3282,5,1995,"Jun2015",225000,9,400,2
2425,4,2006,"Apr2015",360000,8,484,2
1568,4,2005,"Jul2017",148000,5,200,1
2656,3,1999,"Jul2016",244000,6,672,2
3360,3,1992,"Aug2015",310700,10,400,2
5000,5,1994,"Mar2017",415000,10,800,4
1422,3,1999,"Jun2016",142500,7,200,1
2600,4,2006,"Jun2017",410000,8,400,2
3088,4,2001,"Jul2015",300000,8,766,3
1672,3,1998,"Aug2016",117300,5,459,2
1822,3,1994,"Apr2017",234000,7,400,2
1299,2,2000,"Oct2014",135000,5,200,1
4190,5,2001,"Apr2015",395000,10,736,3
1840,3,1991,"May2017",199000,5,330,1
2920,4,2001,"May2015",312000,9,600,2
2893,4,1994,"Jun2016",360000,9,912,3
1747,4,2001,"Jul2017",265000,7,600,3
3220,4,1998,"Jun2016",300000,6,400,2
2998,4,2009,"Jul2015",329000,7,520,2
1348,3,1994,"Sep2015",175000,5,400,2
2700,4,2009,"Sep2015",169900,7,400,2
2468,5,1995,"May2015",233000,7,484,2
1092,4,1996,"Dec2014",148000,7,484,2
1569,2,2002,"Jul2016",140000,5,200,1
1614,3,1999,"Jun2016",144800,7,518,2
3870,5,2000,"Jul2015",375000,7,400,2
1280,2,2009,"Jan2017",154000,4,400,2
2285,5,2002,"Oct2014",320000,8,625,2
3712,5,1994,"Mar2017",290000,9,1576,2
2482,3,1997,"Apr2017",271000,7,520,2
4224,5,1994,"May2016",286000,12,728,3
2596,4,2006,"Oct2015",222000,8,400,2
1800,1,2002,"Jun2017",165400,7,264,1
1569,2,2002,"Jul2016",140000,5,200,1
1404,2,1999,"Dec2016",141500,7,200,1
1422,3,1999,"Apr2016",142500,7,200,1
2200,4,2001,"Aug2016",282000,9,400,2
1888,3,2014,"Oct2014",292950,6,480,2
2227,5,2015,"Aug2015",356700,9,460,2
912,2,2007,"Feb2016",126000,4,489,2
1884,3,2012,"Jun2016",305000,7,400,2
1768,3,2001,"Jul2015",203500,6,528,2
2078,4,1994,"Jul2017",230000,8,400,2
2422,4,2008,"Aug2017",384000,7,400,2
2400,3,2006,"Jul2015",87000,5,564,2
1404,3,1991,"May2015",183000,5,400,2
2774,5,1995,"Sep2014",244000,7,1097,2
2606,4,1994,"Jun2016",356000,7,529,2
2556,4,1990,"Aug2016",299000,10,529,2
1588,3,2003,"May2016",144400,6,200,1
2268,4,1994,"Mar2017",242500,8,400,2
1876,3,2006,"Jun2015",212500,7,440,2
2804,6,2008,"Jul2017",460000,8,552,2
2844,4,1990,"Jun2015",370000,8,506,2
3531,4,1992,"Apr2015",355000,8,400,2
3787,5,2007,"May2017",425000,9,484,2
2462,4,2008,"Jul2017",267500,10,200,1
1614,3,1999,"Jun2016",154500,7,400,2
3600,4,2005,"Mar2017",399000,11,639,3
2504,4,2005,"Aug2016",210200,7,440,2
1961,3,1993,"Sep2015",178000,7,200,1
1960,3,2001,"Dec2016",250000,5,576,2
2488,3,1995,"Mar2015",279000,8,638,2
1800,3,1995,"Nov2015",140000,7,200,1
3266,4,2003,"Mar2015",379000,8,528,2
2738,3,1999,"Jun2016",365000,7,400,3
1746,4,2003,"Mar2017",150000,6,308,1
3000,3,2002,"Aug2016",259400,5,658,2
1968,3,2003,"Mar2015",152000,7,264,1
1568,4,2005,"Dec2016",156000,5,336,1
1191,3,1990,"Jul2015",165000,5,380,1
2128,3,1998,"Aug2014",180000,6,336,1
3157,5,2001,"Sep2015",295000,8,400,2
2741,5,1991,"Jun2016",270000,8,400,2
3754,6,2006,"Apr2015",550000,9,653,3
3200,5,1994,"Mar2017",290000,7,400,2
1319,2,2002,"Jun2015",134500,5,200,1
1422,3,1999,"Sep2016",147000,7,200,1
1498,3,2000,"Jun2016",145000,6,200,1
1580,3,2006,"Sep2015",175000,5,484,2
1624,2,2001,"Jul2017",167000,4,400,2
3170,4,2002,"Nov2016",311300,11,576,2
1319,2,2003,"Aug2015",136000,6,200,1
1634,2,2001,"Sep2014",158000,6,400,2
