ID,VIOLATION LAST MODIFIED DATE,VIOLATION DATE,VIOLATION CODE,VIOLATION STATUS,VIOLATION STATUS DATE,VIOLATION DESCRIPTION,VIOLATION LOCATION,VIOLATION INSPECTOR COMMENTS,VIOLATION ORDINANCE,INSPECTOR ID,INSPECTION NUMBER,INSPECTION STATUS,INSPECTION WAIVED,INSPECTION CATEGORY,DEPARTMENT BUREAU,ADDRESS,STREET NUMBER,STREET DIRECTION,STREET NAME,STREET TYPE,PROPERTY GROUP,SSA,LATITUDE,LONGITUDE,LOCATION,YEAR,MONTH,DAY
6729404,06/27/2023,01/10/2022,EV1111,COMPLIED,06/27/2023,MAINTAIN OR REPAIR HYDRO ELEVA,,CITY FIRE RECALL TEST,"Failed to maintain hydraulic elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",BL00957,13685342,PASSED,N,PERMIT,ELEVATOR,521 W OAKDALE AVE,521,W,OAKDALE,AVE,8066,8.0,41.935437998,-87.642694001,"(41.93543799801343, -87.64269400121434)",2022,01,10
6726715,09/06/2022,01/03/2022,CN070024,COMPLIED,09/06/2022,REPAIR PORCH SYSTEM,OTHER   :    :OTHER371335,"FRONT PORCH - ROTTED WOOD CEILING, MISSING ALUMINUM CAPPING.","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)",BL00831,13640499,FAILED,N,COMPLAINT,CONSERVATION,12025 S STATE ST,12025,S,STATE,ST,535078,,41.675337087,-87.622431277,"(41.67533708701544, -87.6224312766971)",2022,01,03
6726705,06/29/2023,01/03/2022,CN071024,COMPLIED,06/29/2023,REPAIR STOOP,OTHER   :    :OTHER,"FRONT STOOP, SIDE WALLS - WASHED OUT MORTAR ( NORTH SIDE).","Failed to maintain stoop in safe condition and sound repair.  (13-196-570, 13-196-641)",BL00755,13640498,FAILED,N,COMPLAINT,CONSERVATION,8005 S ESCANABA AVE,8005,S,ESCANABA,AVE,435511,,41.749876029,-87.553927047,"(41.749876029131826, -87.55392704663606)",2022,01,03
6731812,07/14/2023,01/13/2022,CN062024,COMPLIED,07/14/2023,PARAPET,OTHER   :    :OTHER,SOUTHWEST FRONT GARAGE PERAPET - WASHED OUT MORTAR.,Failed to maintain parapet wall in good repair and free from cracks and defects.  (13-196-530 and 13-196-641),87296,14114720,FAILED,N,COMPLAINT,CONSERVATION,403 W 103RD ST,403,W,103RD,ST,24594,,41.706930367,-87.633352654,"(41.70693036655445, -87.6333526539513)",2022,01,13
6730529,06/13/2022,01/12/2022,CN136026,COMPLIED,06/13/2022,INSECTS,OTHER   :    :OTHER,"BED BUG INFESTATION THROUGHOUT. - PROPERTY MUST BE EFFECTIVELY TREATED TO EXTERMINATE BEDBUGS THROUGHOUT BUILDING, BY EMPLOYING AN EXPERIENCED EXTERMINATOR IN ABATEMENT OF BED BUG INFESTATION. BUILDING DEPARTMENT WILL NOT CONSIDER THIS VIOLATION COMPLIED WITHOUT PROOF OF SAID EXTERMINATIONS.",Exterminate insects and keep dwelling insect-free. (13-196-630 C),BL00876,13643954,CLOSED,N,COMPLAINT,CONSERVATION,5611 N LINCOLN AVE,5611,N,LINCOLN,AVE,12595,,41.983469226,-87.695448755,"(41.98346922607376, -87.69544875484024)",2022,01,12
6726415,03/08/2022,01/03/2022,VT1010,COMPLIED,03/08/2022,ARRANGE COMPLETED PERMIT INSP.,,,"Arrange mechanical ventilation or warm air heating system final inspection when work completed. (13-12-100, 13-176-310, 13-184-140)",BL00781,13647535,PASSED,N,PERMIT,VENTILATION,5417 N ASHLAND AVE,5417,N,ASHLAND,AVE,198348,22.0,41.98034245,-87.66958046,"(41.98034244999325, -87.66958046014629)",2022,01,03
6728765,03/08/2022,01/03/2022,EV1110,COMPLIED,03/04/2022,MAINTAIN OR REPAIR ELECT ELEVA,,ELEVATOR #2 PATCH/CAULK HOISTWAY MAINTAIN A 2 HOUR FIRE RATING,"Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",541663,13738856,PASSED,N,PERMIT,ELEVATOR,1210 N STATE PKWY,1210,N,STATE,PKWY,58223,,41.904256915,-87.628835717,"(41.904256914763096, -87.62883571744985)",2022,01,03
6728771,03/08/2022,01/03/2022,EV1110,COMPLIED,03/04/2022,MAINTAIN OR REPAIR ELECT ELEVA,,ELEVATOR #2 OKAY FOR CONSTRUCTION USE WITH PERMANENTLY MOUNTED ANDPOWERED 2-WAY COMMUNICATION AT ALL LANDINGS AND OPERATOR,"Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",541663,13738856,PASSED,N,PERMIT,ELEVATOR,1210 N STATE PKWY,1210,N,STATE,PKWY,58223,,41.904256915,-87.628835717,"(41.904256914763096, -87.62883571744985)",2022,01,03
6729787,03/08/2022,01/07/2022,EV2450,COMPLIED,03/02/2022,MAINT VERTICAL WHEELCHAIR LIFT,,PROVIDE FULL CLEARANCE ABOVE TOP OF UNIT TO ALLOW FULL BODY ACCESS (WALL PROTRUDES INTO UNIT). DO NOT USE UNIT.,Failed to maintain vertical wheelchair lift at premises in safe sound working condition.,432622,13643332,FAILED,N,PERMIT,ELEVATOR,650 E 85TH ST,650,E,85TH,ST,447002,51.0,41.740367114,-87.607922888,"(41.7403671138779, -87.60792288839748)",2022,01,07
6756458,01/13/2022,01/13/2022,CN194039,OPEN,,REMOVE,"OTHER   :    :OUTDOORS,","ACTIVITY PROHIBITED. OUTDOOR STORAGE FACILITY FOR A LARGE BOAT ON A TRAILER, 2 ENCLOSED TRAILERS, 8 SNOWMOBILES, 1 OPEN TRAILER AND MISC. ITEMS THROUGHOUT THE YARD AND 1 SCOOTER AT THE REAR GANG WAY. PER SEC. 17-3-0204, 17-3-0207-SS-8, 17-3-0304, 17-16-0201",Remove,BL00942,13741897,FAILED,N,COMPLAINT,CONSERVATION,2951 N KEDZIE AVE,2951,N,KEDZIE,AVE,116222,,41.93538419,-87.70737272,"(41.93538418987242, -87.70737272025372)",2022,01,13
