Job Titles,Department,Annual Salary
CAPTAIN,DEPARTMENT OF POLICE,159552
SERGEANT,DEPARTMENT OF POLICE,133860
LIEUTENANT,DEPARTMENT OF POLICE,150318
SERGEANT,DEPARTMENT OF POLICE,129666
LIEUTENANT,DEPARTMENT OF POLICE,141552
ACCOUNTANT,DEPARTMENT OF FINANCE,90540
COORD OF SPECIAL PROJECTS,CHICAGO PUBLIC LIBRARY,86328
CHIEF CONTRACT EXPEDITER,CHICAGO DEPT OF TRANSPORTATION,75624
SERGEANT,DEPARTMENT OF POLICE,121806
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,125634
ACCOUNTING TECHNICIAN,CHICAGO DEPT OF TRANSPORTATION,52176
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,129666
ACCOUNTANT,CHICAGO DEPT OF TRANSPORTATION,62784
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,121806
LIEUTENANT,DEPARTMENT OF POLICE,150318
PRINCIPAL DATA BASE ANALYST,DAIS,150828
PAYROLL ADMINISTRATOR - EXCLD,DEPARTMENT OF AVIATION,108864
GENERAL FOREMAN OF GENERAL TRADES,DAIS,126588.84
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,133860
LIEUTENANT,DEPARTMENT OF POLICE,150318
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
SERGEANT,DEPARTMENT OF POLICE,133860
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
SERGEANT,DEPARTMENT OF POLICE,125634
PRESS AIDE I,OFFICE OF THE MAYOR,70320
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,125634
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,129666
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,87348
INVESTIGATOR,PUBLIC SAFETY ADMINISTRATION,60876
LIEUTENANT-EMT,FIRE DEPARTMENT,122976
DIR OF NUTRITION,DEPARTMENT OF PUBLIC HEALTH,114684
