Year,Illinois,Indiana,Michigan,Ohio,Wisconsin
2000,155,112,138,151,109
2001,172,98,143,165,100
2002,168,104,150,168,112
2003,131,80,132,139,103
2004,160,99,148,199,111
2005,139,114,140,187,104
2006,135,98,124,183,71
2007,173,104,138,178,110
2008,144,94,146,202,80
2009,151,115,143,157,104
2010,151,107,182,193,113
2011,182,95,169,211,124
2012,160,127,199,197,108
2013,180,127,196,180,107
2014,187,128,211,197,127
2015,211,137,209,224,122
2016,184,157,217,215,143
2017,235,165,212,268,126
2018,201,179,251,271,114
